descriptor,error,passed,reason,job,switch,check
entropy_16_32,0.0,True,,domain_P11_101_w3.0_r3,P11,tail
q_state,0.0,True,,domain_P11_101_w3.0_r3,P11,tail
D,0.0,True,,domain_P11_95_w3.0_r1,P11,tail
A_med,0.0,True,,domain_P11_95_w3.0_r1,P11,tail
ilr_z1,0.0,True,,domain_P11_95_w3.0_r1,P11,tail
ilr_z2,0.0,True,,domain_P11_95_w3.0_r1,P11,tail
ilr_z3,0.0,True,,domain_P11_95_w3.0_r1,P11,tail
ilr_z4,0.0,True,,domain_P11_95_w3.0_r1,P11,tail
A2_8_16,0.0,True,,domain_P11_95_w3.0_r1,P11,tail
entropy_8_16,0.0,True,,domain_P11_95_w3.0_r1,P11,tail
A2_16_32,0.0,True,,domain_P11_95_w3.0_r1,P11,tail
entropy_16_32,0.0,True,,domain_P11_95_w3.0_r1,P11,tail
q_state,0.0,True,,domain_P11_95_w3.0_r1,P11,tail
D,0.0,True,,domain_P11_101_w2.0_r1,P11,tail
A_med,0.0,True,,domain_P11_101_w2.0_r1,P11,tail
ilr_z1,0.0,True,,domain_P11_101_w2.0_r1,P11,tail
ilr_z2,0.0,True,,domain_P11_101_w2.0_r1,P11,tail
ilr_z3,0.0,True,,domain_P11_101_w2.0_r1,P11,tail
ilr_z4,0.0,True,,domain_P11_101_w2.0_r1,P11,tail
A2_8_16,0.0,True,,domain_P11_101_w2.0_r1,P11,tail
entropy_8_16,0.0,True,,domain_P11_101_w2.0_r1,P11,tail
A2_16_32,0.0,True,,domain_P11_101_w2.0_r1,P11,tail
entropy_16_32,0.0,True,,domain_P11_101_w2.0_r1,P11,tail
q_state,0.0,True,,domain_P11_101_w2.0_r1,P11,tail
D,0.0,True,,domain_P11_101_w3.0_r1,P11,tail
A_med,0.0,True,,domain_P11_101_w3.0_r1,P11,tail
ilr_z1,0.0,True,,domain_P11_101_w3.0_r1,P11,tail
ilr_z2,0.0,True,,domain_P11_101_w3.0_r1,P11,tail
ilr_z3,0.0,True,,domain_P11_101_w3.0_r1,P11,tail
ilr_z4,0.0,True,,domain_P11_101_w3.0_r1,P11,tail
A2_8_16,0.0,True,,domain_P11_101_w3.0_r1,P11,tail
entropy_8_16,0.0,True,,domain_P11_101_w3.0_r1,P11,tail
A2_16_32,0.0,True,,domain_P11_101_w3.0_r1,P11,tail
entropy_16_32,0.0,True,,domain_P11_101_w3.0_r1,P11,tail
q_state,0.0,True,,domain_P11_101_w3.0_r1,P11,tail
D,0.0,True,,domain_P11_102_w0.874_r3,P11,tail
A_med,0.0,True,,domain_P11_102_w0.874_r3,P11,tail
ilr_z1,0.0,True,,domain_P11_102_w0.874_r3,P11,tail
ilr_z2,0.0,True,,domain_P11_102_w0.874_r3,P11,tail
ilr_z3,0.0,True,,domain_P11_102_w0.874_r3,P11,tail
ilr_z4,0.0,True,,domain_P11_102_w0.874_r3,P11,tail
A2_8_16,0.0,True,,domain_P11_102_w0.874_r3,P11,tail
entropy_8_16,0.0,True,,domain_P11_102_w0.874_r3,P11,tail
A2_16_32,0.0,True,,domain_P11_102_w0.874_r3,P11,tail
entropy_16_32,0.0,True,,domain_P11_102_w0.874_r3,P11,tail
q_state,0.0,True,,domain_P11_102_w0.874_r3,P11,tail
D,0.0,True,,domain_P11_95_w2.0_r0,P11,tail
A_med,0.0,True,,domain_P11_95_w2.0_r0,P11,tail
ilr_z1,0.0,True,,domain_P11_95_w2.0_r0,P11,tail
ilr_z2,0.0,True,,domain_P11_95_w2.0_r0,P11,tail
ilr_z3,0.0,True,,domain_P11_95_w2.0_r0,P11,tail
ilr_z4,0.0,True,,domain_P11_95_w2.0_r0,P11,tail
A2_8_16,0.0,True,,domain_P11_95_w2.0_r0,P11,tail
entropy_8_16,0.0,True,,domain_P11_95_w2.0_r0,P11,tail
A2_16_32,0.0,True,,domain_P11_95_w2.0_r0,P11,tail
entropy_16_32,0.0,True,,domain_P11_95_w2.0_r0,P11,tail
q_state,0.0,True,,domain_P11_95_w2.0_r0,P11,tail
D,0.0,True,,domain_P11_102_w2.0_r3,P11,tail
A_med,0.0,True,,domain_P11_102_w2.0_r3,P11,tail
ilr_z1,0.0,True,,domain_P11_102_w2.0_r3,P11,tail
ilr_z2,0.0,True,,domain_P11_102_w2.0_r3,P11,tail
ilr_z3,0.0,True,,domain_P11_102_w2.0_r3,P11,tail
ilr_z4,0.0,True,,domain_P11_102_w2.0_r3,P11,tail
A2_8_16,0.0,True,,domain_P11_102_w2.0_r3,P11,tail
entropy_8_16,0.0,True,,domain_P11_102_w2.0_r3,P11,tail
A2_16_32,0.0,True,,domain_P11_102_w2.0_r3,P11,tail
entropy_16_32,0.0,True,,domain_P11_102_w2.0_r3,P11,tail
q_state,0.0,True,,domain_P11_102_w2.0_r3,P11,tail
D,0.0,True,,domain_P11_101_w0.874_r1,P11,tail
A_med,0.0,True,,domain_P11_101_w0.874_r1,P11,tail
ilr_z1,0.0,True,,domain_P11_101_w0.874_r1,P11,tail
ilr_z2,0.0,True,,domain_P11_101_w0.874_r1,P11,tail
ilr_z3,0.0,True,,domain_P11_101_w0.874_r1,P11,tail
ilr_z4,0.0,True,,domain_P11_101_w0.874_r1,P11,tail
A2_8_16,0.0,True,,domain_P11_101_w0.874_r1,P11,tail
entropy_8_16,0.0,True,,domain_P11_101_w0.874_r1,P11,tail
A2_16_32,0.0,True,,domain_P11_101_w0.874_r1,P11,tail
entropy_16_32,0.0,True,,domain_P11_101_w0.874_r1,P11,tail
q_state,0.0,True,,domain_P11_101_w0.874_r1,P11,tail
D,0.0,True,,domain_P11_101_w2.0_r0,P11,tail
A_med,0.0,True,,domain_P11_101_w2.0_r0,P11,tail
ilr_z1,0.0,True,,domain_P11_101_w2.0_r0,P11,tail
ilr_z2,0.0,True,,domain_P11_101_w2.0_r0,P11,tail
ilr_z3,0.0,True,,domain_P11_101_w2.0_r0,P11,tail
ilr_z4,0.0,True,,domain_P11_101_w2.0_r0,P11,tail
A2_8_16,0.0,True,,domain_P11_101_w2.0_r0,P11,tail
entropy_8_16,0.0,True,,domain_P11_101_w2.0_r0,P11,tail
A2_16_32,0.0,True,,domain_P11_101_w2.0_r0,P11,tail
entropy_16_32,0.0,True,,domain_P11_101_w2.0_r0,P11,tail
q_state,0.0,True,,domain_P11_101_w2.0_r0,P11,tail
D,0.0,True,,domain_P11_101_w3.0_r0,P11,tail
A_med,0.0,True,,domain_P11_101_w3.0_r0,P11,tail
ilr_z1,0.0,True,,domain_P11_101_w3.0_r0,P11,tail
ilr_z2,0.0,True,,domain_P11_101_w3.0_r0,P11,tail
ilr_z3,0.0,True,,domain_P11_101_w3.0_r0,P11,tail
ilr_z4,0.0,True,,domain_P11_101_w3.0_r0,P11,tail
A2_8_16,0.0,True,,domain_P11_101_w3.0_r0,P11,tail
entropy_8_16,0.0,True,,domain_P11_101_w3.0_r0,P11,tail
A2_16_32,0.0,True,,domain_P11_101_w3.0_r0,P11,tail
entropy_16_32,0.0,True,,domain_P11_101_w3.0_r0,P11,tail
q_state,0.0,True,,domain_P11_101_w3.0_r0,P11,tail
D,0.0,True,,domain_P11_102_w3.0_r3,P11,tail
A_med,0.0,True,,domain_P11_102_w3.0_r3,P11,tail
ilr_z1,0.0,True,,domain_P11_102_w3.0_r3,P11,tail
ilr_z2,0.0,True,,domain_P11_102_w3.0_r3,P11,tail
ilr_z3,0.0,True,,domain_P11_102_w3.0_r3,P11,tail
ilr_z4,0.0,True,,domain_P11_102_w3.0_r3,P11,tail
A2_8_16,0.0,True,,domain_P11_102_w3.0_r3,P11,tail
entropy_8_16,0.0,True,,domain_P11_102_w3.0_r3,P11,tail
A2_16_32,0.0,True,,domain_P11_102_w3.0_r3,P11,tail
entropy_16_32,0.0,True,,domain_P11_102_w3.0_r3,P11,tail
q_state,0.0,True,,domain_P11_102_w3.0_r3,P11,tail
D,0.0,True,,domain_P11_95_w3.0_r0,P11,tail
A_med,0.0,True,,domain_P11_95_w3.0_r0,P11,tail
ilr_z1,0.0,True,,domain_P11_95_w3.0_r0,P11,tail
ilr_z2,0.0,True,,domain_P11_95_w3.0_r0,P11,tail
ilr_z3,0.0,True,,domain_P11_95_w3.0_r0,P11,tail
ilr_z4,0.0,True,,domain_P11_95_w3.0_r0,P11,tail
A2_8_16,0.0,True,,domain_P11_95_w3.0_r0,P11,tail
entropy_8_16,0.0,True,,domain_P11_95_w3.0_r0,P11,tail
A2_16_32,0.0,True,,domain_P11_95_w3.0_r0,P11,tail
entropy_16_32,0.0,True,,domain_P11_95_w3.0_r0,P11,tail
q_state,0.0,True,,domain_P11_95_w3.0_r0,P11,tail
D,0.0,True,,domain_P11_103_w0.874_r3,P11,tail
A_med,0.0,True,,domain_P11_103_w0.874_r3,P11,tail
ilr_z1,0.0,True,,domain_P11_103_w0.874_r3,P11,tail
ilr_z2,0.0,True,,domain_P11_103_w0.874_r3,P11,tail
ilr_z3,0.0,True,,domain_P11_103_w0.874_r3,P11,tail
ilr_z4,0.0,True,,domain_P11_103_w0.874_r3,P11,tail
A2_8_16,0.0,True,,domain_P11_103_w0.874_r3,P11,tail
entropy_8_16,0.0,True,,domain_P11_103_w0.874_r3,P11,tail
A2_16_32,0.0,True,,domain_P11_103_w0.874_r3,P11,tail
entropy_16_32,0.0,True,,domain_P11_103_w0.874_r3,P11,tail
q_state,0.0,True,,domain_P11_103_w0.874_r3,P11,tail
D,0.0,True,,domain_P11_103_w0.874_r1,P11,tail
A_med,0.0,True,,domain_P11_103_w0.874_r1,P11,tail
ilr_z1,0.0,True,,domain_P11_103_w0.874_r1,P11,tail
ilr_z2,0.0,True,,domain_P11_103_w0.874_r1,P11,tail
ilr_z3,0.0,True,,domain_P11_103_w0.874_r1,P11,tail
ilr_z4,0.0,True,,domain_P11_103_w0.874_r1,P11,tail
A2_8_16,0.0,True,,domain_P11_103_w0.874_r1,P11,tail
entropy_8_16,0.0,True,,domain_P11_103_w0.874_r1,P11,tail
A2_16_32,0.0,True,,domain_P11_103_w0.874_r1,P11,tail
entropy_16_32,0.0,True,,domain_P11_103_w0.874_r1,P11,tail
q_state,0.0,True,,domain_P11_103_w0.874_r1,P11,tail
D,0.0,True,,domain_P11_103_w0.874_r0,P11,tail
A_med,0.0,True,,domain_P11_103_w0.874_r0,P11,tail
ilr_z1,0.0,True,,domain_P11_103_w0.874_r0,P11,tail
ilr_z2,0.0,True,,domain_P11_103_w0.874_r0,P11,tail
ilr_z3,0.0,True,,domain_P11_103_w0.874_r0,P11,tail
ilr_z4,0.0,True,,domain_P11_103_w0.874_r0,P11,tail
A2_8_16,0.0,True,,domain_P11_103_w0.874_r0,P11,tail
entropy_8_16,0.0,True,,domain_P11_103_w0.874_r0,P11,tail
A2_16_32,0.0,True,,domain_P11_103_w0.874_r0,P11,tail
entropy_16_32,0.0,True,,domain_P11_103_w0.874_r0,P11,tail
q_state,0.0,True,,domain_P11_103_w0.874_r0,P11,tail
D,0.0,True,,domain_P11_103_w2.0_r3,P11,tail
A_med,0.0,True,,domain_P11_103_w2.0_r3,P11,tail
ilr_z1,0.0,True,,domain_P11_103_w2.0_r3,P11,tail
ilr_z2,0.0,True,,domain_P11_103_w2.0_r3,P11,tail
ilr_z3,0.0,True,,domain_P11_103_w2.0_r3,P11,tail
ilr_z4,0.0,True,,domain_P11_103_w2.0_r3,P11,tail
A2_8_16,0.0,True,,domain_P11_103_w2.0_r3,P11,tail
entropy_8_16,0.0,True,,domain_P11_103_w2.0_r3,P11,tail
A2_16_32,0.0,True,,domain_P11_103_w2.0_r3,P11,tail
entropy_16_32,0.0,True,,domain_P11_103_w2.0_r3,P11,tail
q_state,0.0,True,,domain_P11_103_w2.0_r3,P11,tail
D,0.0,True,,domain_P11_101_w0.874_r0,P11,tail
A_med,0.0,True,,domain_P11_101_w0.874_r0,P11,tail
ilr_z1,0.0,True,,domain_P11_101_w0.874_r0,P11,tail
ilr_z2,0.0,True,,domain_P11_101_w0.874_r0,P11,tail
ilr_z3,0.0,True,,domain_P11_101_w0.874_r0,P11,tail
ilr_z4,0.0,True,,domain_P11_101_w0.874_r0,P11,tail
A2_8_16,0.0,True,,domain_P11_101_w0.874_r0,P11,tail
entropy_8_16,0.0,True,,domain_P11_101_w0.874_r0,P11,tail
A2_16_32,0.0,True,,domain_P11_101_w0.874_r0,P11,tail
entropy_16_32,0.0,True,,domain_P11_101_w0.874_r0,P11,tail
q_state,0.0,True,,domain_P11_101_w0.874_r0,P11,tail
D,0.0,True,,domain_P11_103_w2.0_r1,P11,tail
A_med,0.0,True,,domain_P11_103_w2.0_r1,P11,tail
ilr_z1,0.0,True,,domain_P11_103_w2.0_r1,P11,tail
ilr_z2,0.0,True,,domain_P11_103_w2.0_r1,P11,tail
ilr_z3,0.0,True,,domain_P11_103_w2.0_r1,P11,tail
ilr_z4,0.0,True,,domain_P11_103_w2.0_r1,P11,tail
A2_8_16,0.0,True,,domain_P11_103_w2.0_r1,P11,tail
entropy_8_16,0.0,True,,domain_P11_103_w2.0_r1,P11,tail
A2_16_32,0.0,True,,domain_P11_103_w2.0_r1,P11,tail
entropy_16_32,0.0,True,,domain_P11_103_w2.0_r1,P11,tail
q_state,0.0,True,,domain_P11_103_w2.0_r1,P11,tail
D,0.0,True,,domain_P11_103_w3.0_r3,P11,tail
A_med,0.0,True,,domain_P11_103_w3.0_r3,P11,tail
ilr_z1,0.0,True,,domain_P11_103_w3.0_r3,P11,tail
ilr_z2,0.0,True,,domain_P11_103_w3.0_r3,P11,tail
ilr_z3,0.0,True,,domain_P11_103_w3.0_r3,P11,tail
ilr_z4,0.0,True,,domain_P11_103_w3.0_r3,P11,tail
A2_8_16,0.0,True,,domain_P11_103_w3.0_r3,P11,tail
entropy_8_16,0.0,True,,domain_P11_103_w3.0_r3,P11,tail
A2_16_32,0.0,True,,domain_P11_103_w3.0_r3,P11,tail
entropy_16_32,0.0,True,,domain_P11_103_w3.0_r3,P11,tail
q_state,0.0,True,,domain_P11_103_w3.0_r3,P11,tail
D,0.0,True,,domain_P11_103_w2.0_r0,P11,tail
A_med,0.0,True,,domain_P11_103_w2.0_r0,P11,tail
ilr_z1,0.0,True,,domain_P11_103_w2.0_r0,P11,tail
ilr_z2,0.0,True,,domain_P11_103_w2.0_r0,P11,tail
ilr_z3,0.0,True,,domain_P11_103_w2.0_r0,P11,tail
ilr_z4,0.0,True,,domain_P11_103_w2.0_r0,P11,tail
A2_8_16,0.0,True,,domain_P11_103_w2.0_r0,P11,tail
entropy_8_16,0.0,True,,domain_P11_103_w2.0_r0,P11,tail
A2_16_32,0.0,True,,domain_P11_103_w2.0_r0,P11,tail
entropy_16_32,0.0,True,,domain_P11_103_w2.0_r0,P11,tail
q_state,0.0,True,,domain_P11_103_w2.0_r0,P11,tail
D,0.0,True,,domain_P11_103_w3.0_r1,P11,tail
A_med,0.0,True,,domain_P11_103_w3.0_r1,P11,tail
ilr_z1,0.0,True,,domain_P11_103_w3.0_r1,P11,tail
ilr_z2,0.0,True,,domain_P11_103_w3.0_r1,P11,tail
ilr_z3,0.0,True,,domain_P11_103_w3.0_r1,P11,tail
ilr_z4,0.0,True,,domain_P11_103_w3.0_r1,P11,tail
A2_8_16,0.0,True,,domain_P11_103_w3.0_r1,P11,tail
entropy_8_16,0.0,True,,domain_P11_103_w3.0_r1,P11,tail
A2_16_32,0.0,True,,domain_P11_103_w3.0_r1,P11,tail
entropy_16_32,0.0,True,,domain_P11_103_w3.0_r1,P11,tail
q_state,0.0,True,,domain_P11_103_w3.0_r1,P11,tail
D,0.0,True,,domain_P11_104_w0.874_r3,P11,tail
A_med,0.0,True,,domain_P11_104_w0.874_r3,P11,tail
ilr_z1,0.0,True,,domain_P11_104_w0.874_r3,P11,tail
ilr_z2,0.0,True,,domain_P11_104_w0.874_r3,P11,tail
ilr_z3,0.0,True,,domain_P11_104_w0.874_r3,P11,tail
ilr_z4,0.0,True,,domain_P11_104_w0.874_r3,P11,tail
A2_8_16,0.0,True,,domain_P11_104_w0.874_r3,P11,tail
entropy_8_16,0.0,True,,domain_P11_104_w0.874_r3,P11,tail
A2_16_32,0.0,True,,domain_P11_104_w0.874_r3,P11,tail
entropy_16_32,0.0,True,,domain_P11_104_w0.874_r3,P11,tail
q_state,0.0,True,,domain_P11_104_w0.874_r3,P11,tail
D,0.0,True,,domain_P11_104_w0.874_r1,P11,tail
A_med,0.0,True,,domain_P11_104_w0.874_r1,P11,tail
ilr_z1,0.0,True,,domain_P11_104_w0.874_r1,P11,tail
ilr_z2,0.0,True,,domain_P11_104_w0.874_r1,P11,tail
ilr_z3,0.0,True,,domain_P11_104_w0.874_r1,P11,tail
ilr_z4,0.0,True,,domain_P11_104_w0.874_r1,P11,tail
A2_8_16,0.0,True,,domain_P11_104_w0.874_r1,P11,tail
entropy_8_16,0.0,True,,domain_P11_104_w0.874_r1,P11,tail
A2_16_32,0.0,True,,domain_P11_104_w0.874_r1,P11,tail
entropy_16_32,0.0,True,,domain_P11_104_w0.874_r1,P11,tail
q_state,0.0,True,,domain_P11_104_w0.874_r1,P11,tail
D,0.0,True,,domain_P11_104_w0.874_r0,P11,tail
A_med,0.0,True,,domain_P11_104_w0.874_r0,P11,tail
ilr_z1,0.0,True,,domain_P11_104_w0.874_r0,P11,tail
ilr_z2,0.0,True,,domain_P11_104_w0.874_r0,P11,tail
ilr_z3,0.0,True,,domain_P11_104_w0.874_r0,P11,tail
ilr_z4,0.0,True,,domain_P11_104_w0.874_r0,P11,tail
A2_8_16,0.0,True,,domain_P11_104_w0.874_r0,P11,tail
entropy_8_16,0.0,True,,domain_P11_104_w0.874_r0,P11,tail
A2_16_32,0.0,True,,domain_P11_104_w0.874_r0,P11,tail
entropy_16_32,0.0,True,,domain_P11_104_w0.874_r0,P11,tail
q_state,0.0,True,,domain_P11_104_w0.874_r0,P11,tail
D,0.0,True,,domain_P11_104_w2.0_r3,P11,tail
A_med,0.0,True,,domain_P11_104_w2.0_r3,P11,tail
ilr_z1,0.0,True,,domain_P11_104_w2.0_r3,P11,tail
ilr_z2,0.0,True,,domain_P11_104_w2.0_r3,P11,tail
ilr_z3,0.0,True,,domain_P11_104_w2.0_r3,P11,tail
ilr_z4,0.0,True,,domain_P11_104_w2.0_r3,P11,tail
A2_8_16,0.0,True,,domain_P11_104_w2.0_r3,P11,tail
entropy_8_16,0.0,True,,domain_P11_104_w2.0_r3,P11,tail
A2_16_32,0.0,True,,domain_P11_104_w2.0_r3,P11,tail
entropy_16_32,0.0,True,,domain_P11_104_w2.0_r3,P11,tail
q_state,0.0,True,,domain_P11_104_w2.0_r3,P11,tail
D,0.0,True,,domain_P11_103_w3.0_r0,P11,tail
A_med,0.0,True,,domain_P11_103_w3.0_r0,P11,tail
ilr_z1,0.0,True,,domain_P11_103_w3.0_r0,P11,tail
ilr_z2,0.0,True,,domain_P11_103_w3.0_r0,P11,tail
ilr_z3,0.0,True,,domain_P11_103_w3.0_r0,P11,tail
ilr_z4,0.0,True,,domain_P11_103_w3.0_r0,P11,tail
A2_8_16,0.0,True,,domain_P11_103_w3.0_r0,P11,tail
entropy_8_16,0.0,True,,domain_P11_103_w3.0_r0,P11,tail
A2_16_32,0.0,True,,domain_P11_103_w3.0_r0,P11,tail
entropy_16_32,0.0,True,,domain_P11_103_w3.0_r0,P11,tail
q_state,0.0,True,,domain_P11_103_w3.0_r0,P11,tail
D,0.0,True,,domain_P11_104_w2.0_r1,P11,tail
A_med,0.0,True,,domain_P11_104_w2.0_r1,P11,tail
ilr_z1,0.0,True,,domain_P11_104_w2.0_r1,P11,tail
ilr_z2,0.0,True,,domain_P11_104_w2.0_r1,P11,tail
ilr_z3,0.0,True,,domain_P11_104_w2.0_r1,P11,tail
ilr_z4,0.0,True,,domain_P11_104_w2.0_r1,P11,tail
A2_8_16,0.0,True,,domain_P11_104_w2.0_r1,P11,tail
entropy_8_16,0.0,True,,domain_P11_104_w2.0_r1,P11,tail
A2_16_32,0.0,True,,domain_P11_104_w2.0_r1,P11,tail
entropy_16_32,0.0,True,,domain_P11_104_w2.0_r1,P11,tail
q_state,0.0,True,,domain_P11_104_w2.0_r1,P11,tail
D,0.0,True,,domain_P11_104_w3.0_r3,P11,tail
A_med,0.0,True,,domain_P11_104_w3.0_r3,P11,tail
ilr_z1,0.0,True,,domain_P11_104_w3.0_r3,P11,tail
ilr_z2,0.0,True,,domain_P11_104_w3.0_r3,P11,tail
ilr_z3,0.0,True,,domain_P11_104_w3.0_r3,P11,tail
ilr_z4,0.0,True,,domain_P11_104_w3.0_r3,P11,tail
A2_8_16,0.0,True,,domain_P11_104_w3.0_r3,P11,tail
entropy_8_16,0.0,True,,domain_P11_104_w3.0_r3,P11,tail
A2_16_32,0.0,True,,domain_P11_104_w3.0_r3,P11,tail
entropy_16_32,0.0,True,,domain_P11_104_w3.0_r3,P11,tail
q_state,0.0,True,,domain_P11_104_w3.0_r3,P11,tail
D,0.0,True,,domain_P11_104_w2.0_r0,P11,tail
A_med,0.0,True,,domain_P11_104_w2.0_r0,P11,tail
ilr_z1,0.0,True,,domain_P11_104_w2.0_r0,P11,tail
ilr_z2,0.0,True,,domain_P11_104_w2.0_r0,P11,tail
ilr_z3,0.0,True,,domain_P11_104_w2.0_r0,P11,tail
ilr_z4,0.0,True,,domain_P11_104_w2.0_r0,P11,tail
A2_8_16,0.0,True,,domain_P11_104_w2.0_r0,P11,tail
entropy_8_16,0.0,True,,domain_P11_104_w2.0_r0,P11,tail
A2_16_32,0.0,True,,domain_P11_104_w2.0_r0,P11,tail
entropy_16_32,0.0,True,,domain_P11_104_w2.0_r0,P11,tail
q_state,0.0,True,,domain_P11_104_w2.0_r0,P11,tail
D,0.0,True,,domain_P11_104_w3.0_r1,P11,tail
A_med,0.0,True,,domain_P11_104_w3.0_r1,P11,tail
ilr_z1,0.0,True,,domain_P11_104_w3.0_r1,P11,tail
ilr_z2,0.0,True,,domain_P11_104_w3.0_r1,P11,tail
ilr_z3,0.0,True,,domain_P11_104_w3.0_r1,P11,tail
ilr_z4,0.0,True,,domain_P11_104_w3.0_r1,P11,tail
A2_8_16,0.0,True,,domain_P11_104_w3.0_r1,P11,tail
entropy_8_16,0.0,True,,domain_P11_104_w3.0_r1,P11,tail
A2_16_32,0.0,True,,domain_P11_104_w3.0_r1,P11,tail
entropy_16_32,0.0,True,,domain_P11_104_w3.0_r1,P11,tail
q_state,0.0,True,,domain_P11_104_w3.0_r1,P11,tail
D,0.0,True,,domain_P11_105_w0.874_r3,P11,tail
A_med,0.0,True,,domain_P11_105_w0.874_r3,P11,tail
ilr_z1,0.0,True,,domain_P11_105_w0.874_r3,P11,tail
ilr_z2,0.0,True,,domain_P11_105_w0.874_r3,P11,tail
ilr_z3,0.0,True,,domain_P11_105_w0.874_r3,P11,tail
ilr_z4,0.0,True,,domain_P11_105_w0.874_r3,P11,tail
A2_8_16,0.0,True,,domain_P11_105_w0.874_r3,P11,tail
entropy_8_16,0.0,True,,domain_P11_105_w0.874_r3,P11,tail
A2_16_32,0.0,True,,domain_P11_105_w0.874_r3,P11,tail
entropy_16_32,0.0,True,,domain_P11_105_w0.874_r3,P11,tail
q_state,0.0,True,,domain_P11_105_w0.874_r3,P11,tail
D,0.0,True,,domain_P11_105_w0.874_r1,P11,tail
A_med,0.0,True,,domain_P11_105_w0.874_r1,P11,tail
ilr_z1,0.0,True,,domain_P11_105_w0.874_r1,P11,tail
ilr_z2,0.0,True,,domain_P11_105_w0.874_r1,P11,tail
ilr_z3,0.0,True,,domain_P11_105_w0.874_r1,P11,tail
ilr_z4,0.0,True,,domain_P11_105_w0.874_r1,P11,tail
A2_8_16,0.0,True,,domain_P11_105_w0.874_r1,P11,tail
entropy_8_16,0.0,True,,domain_P11_105_w0.874_r1,P11,tail
A2_16_32,0.0,True,,domain_P11_105_w0.874_r1,P11,tail
entropy_16_32,0.0,True,,domain_P11_105_w0.874_r1,P11,tail
q_state,0.0,True,,domain_P11_105_w0.874_r1,P11,tail
D,0.0,True,,domain_P11_105_w0.874_r0,P11,tail
A_med,0.0,True,,domain_P11_105_w0.874_r0,P11,tail
ilr_z1,0.0,True,,domain_P11_105_w0.874_r0,P11,tail
ilr_z2,0.0,True,,domain_P11_105_w0.874_r0,P11,tail
ilr_z3,0.0,True,,domain_P11_105_w0.874_r0,P11,tail
ilr_z4,0.0,True,,domain_P11_105_w0.874_r0,P11,tail
A2_8_16,0.0,True,,domain_P11_105_w0.874_r0,P11,tail
entropy_8_16,0.0,True,,domain_P11_105_w0.874_r0,P11,tail
A2_16_32,0.0,True,,domain_P11_105_w0.874_r0,P11,tail
entropy_16_32,0.0,True,,domain_P11_105_w0.874_r0,P11,tail
q_state,0.0,True,,domain_P11_105_w0.874_r0,P11,tail
D,0.0,True,,domain_P11_105_w2.0_r3,P11,tail
A_med,0.0,True,,domain_P11_105_w2.0_r3,P11,tail
ilr_z1,0.0,True,,domain_P11_105_w2.0_r3,P11,tail
ilr_z2,0.0,True,,domain_P11_105_w2.0_r3,P11,tail
ilr_z3,0.0,True,,domain_P11_105_w2.0_r3,P11,tail
ilr_z4,0.0,True,,domain_P11_105_w2.0_r3,P11,tail
A2_8_16,0.0,True,,domain_P11_105_w2.0_r3,P11,tail
entropy_8_16,0.0,True,,domain_P11_105_w2.0_r3,P11,tail
A2_16_32,0.0,True,,domain_P11_105_w2.0_r3,P11,tail
entropy_16_32,0.0,True,,domain_P11_105_w2.0_r3,P11,tail
q_state,0.0,True,,domain_P11_105_w2.0_r3,P11,tail
D,0.0,True,,domain_P11_104_w3.0_r0,P11,tail
A_med,0.0,True,,domain_P11_104_w3.0_r0,P11,tail
ilr_z1,0.0,True,,domain_P11_104_w3.0_r0,P11,tail
ilr_z2,0.0,True,,domain_P11_104_w3.0_r0,P11,tail
ilr_z3,0.0,True,,domain_P11_104_w3.0_r0,P11,tail
ilr_z4,0.0,True,,domain_P11_104_w3.0_r0,P11,tail
A2_8_16,0.0,True,,domain_P11_104_w3.0_r0,P11,tail
entropy_8_16,0.0,True,,domain_P11_104_w3.0_r0,P11,tail
A2_16_32,0.0,True,,domain_P11_104_w3.0_r0,P11,tail
entropy_16_32,0.0,True,,domain_P11_104_w3.0_r0,P11,tail
q_state,0.0,True,,domain_P11_104_w3.0_r0,P11,tail
D,0.0,True,,domain_P11_105_w2.0_r1,P11,tail
A_med,0.0,True,,domain_P11_105_w2.0_r1,P11,tail
ilr_z1,0.0,True,,domain_P11_105_w2.0_r1,P11,tail
ilr_z2,0.0,True,,domain_P11_105_w2.0_r1,P11,tail
ilr_z3,0.0,True,,domain_P11_105_w2.0_r1,P11,tail
ilr_z4,0.0,True,,domain_P11_105_w2.0_r1,P11,tail
A2_8_16,0.0,True,,domain_P11_105_w2.0_r1,P11,tail
entropy_8_16,0.0,True,,domain_P11_105_w2.0_r1,P11,tail
A2_16_32,0.0,True,,domain_P11_105_w2.0_r1,P11,tail
entropy_16_32,0.0,True,,domain_P11_105_w2.0_r1,P11,tail
q_state,0.0,True,,domain_P11_105_w2.0_r1,P11,tail
D,0.0,True,,domain_P11_105_w3.0_r3,P11,tail
A_med,0.0,True,,domain_P11_105_w3.0_r3,P11,tail
ilr_z1,0.0,True,,domain_P11_105_w3.0_r3,P11,tail
ilr_z2,0.0,True,,domain_P11_105_w3.0_r3,P11,tail
ilr_z3,0.0,True,,domain_P11_105_w3.0_r3,P11,tail
ilr_z4,0.0,True,,domain_P11_105_w3.0_r3,P11,tail
A2_8_16,0.0,True,,domain_P11_105_w3.0_r3,P11,tail
entropy_8_16,0.0,True,,domain_P11_105_w3.0_r3,P11,tail
A2_16_32,0.0,True,,domain_P11_105_w3.0_r3,P11,tail
entropy_16_32,0.0,True,,domain_P11_105_w3.0_r3,P11,tail
